k,train_accuracy,test_accuracy,precision_kecimen,recall_kecimen,misclassification_error,generalization_gap
3,0.9180555555555555,0.8611111111111112,0.8155339805825242,0.9333333333333333,0.13888888888888884,0.05694444444444435
5,0.8902777777777777,0.8611111111111112,0.8095238095238095,0.9444444444444444,0.13888888888888884,0.029166666666666563
9,0.8777777777777778,0.8555555555555555,0.8018867924528302,0.9444444444444444,0.1444444444444445,0.022222222222222254
